movie_id,production_companies
9359,Icon Entertainment International
9359,Warner Bros.
36593,Paramount Pictures
2788,Universal Pictures
2788,Jersey Films
11011,Davis Entertainment
11011,Silver Pictures
11011,Warner Bros.
8987,Universal Pictures
8987,David Foster Productions
8987,Turman-Foster Company
1637,Twentieth Century Fox Film Corporation
8831,Universal Pictures
8831,Renaissance Pictures
8831,Dark Horse Entertainment
8831,Largo Entertainment
8831,Signature Pictures
8831,JVC Entertainment Networks
36955,Twentieth Century Fox Film Corporation
36955,Lightstorm Entertainment
10395,Columbia Pictures
12160,Tig Productions
12160,Warner Bros.
12160,Kasdan Pictures
12160,Paragon Entertainment Corp.
11667,Universal Pictures
11667,Capcom
8011,Trans-Film
8011,Initial Groupe
8011,Lumière Pictures
8011,Fallingcloud
2654,New Line Cinema
2758,Paramount Pictures
2758,Orion Pictures
2758,Scott Rudin Productions
10436,Columbia Pictures
13595,Twentieth Century Fox Film Corporation
13595,Island World
13595,Robert Simonds Productions
306,Paramount Pictures
306,Eddie Murphy Productions
178,Trilogy Entertainment Group
178,Metro-Goldwyn-Mayer (MGM)
4722,Warner Bros.
4722,Dorset Productions
4722,Robert H. Solo Productions
1607,HBO Films
1607,Savoy Pictures
6075,Universal Pictures
6075,Epic Productions
6075,Bregman/Baer Productions
11310,Columbia Pictures
11310,Castle Rock Entertainment
9350,TriStar Pictures
9350,Canal+
9350,Carolco Pictures
9350,RCS Video
9350,Cliffhanger Productions
9350,Pioneer
9612,Paramount Pictures
2124,Hollywood Pictures
2124,Cinergi Pictures Entertainment
11566,Donner/Shuler-Donner Productions
11566,Warner Bros.
11566,Northern Lights Entertainment
9571,Gramercy Pictures
9571,Alphaville Productions
9571,The Criterion Collection
9739,Silver Pictures
9739,Warner Bros.
37233,Paramount Pictures
37233,Mirage Enterprises
37233,Davis Entertainment
1634,Canal Plus
1634,Regency Enterprises
1634,Alcor Films
1634,Warner Bros.
1634,Donner/Shuler-Donner Productions
5503,Warner Bros.
2019,Universal Pictures
2019,Renaissance Pictures
2019,Alphaville Films
9255,Twentieth Century Fox Film Corporation
9255,Sidley Wright & Associates
2259,Det Danske Filminstitut
2259,Spring Creek Productions
2259,Eurimages
2259,Costa do Castelo Filmes
2259,Neue Constantin Film
2259,House of Spirits Film
11934,PolyGram Filmed Entertainment
11934,Silver Pictures
11934,Warner Bros.
11934,Working Title Films
11934,PolyGram Filmproduktion
9386,Castle Rock Entertainment
9386,Columbia Pictures Corporation
7984,Universal Pictures
7984,Hell's Kitchen Films
329,Universal Pictures
329,Amblin Entertainment
10909,Propaganda Films
10909,Kouf/Bigelow Productions
507,Live Entertainment
9593,Columbia Pictures Corporation
9593,Oak Productions
2246,Columbia Pictures
2246,New Line Cinema
2246,Castle Rock Entertainment
2246,Nelvana Limited
10502,Icon Entertainment International
10502,Warner Bros.
10440,TriStar Pictures
9516,New Line Cinema
2320,Silver Pictures
2320,Warner Bros.
5879,Argos Films
5879,Oshima Productions
5879,Shibata Organisation
11971,Renaissance Films
11971,American Playhouse Theatrical Films
788,Twentieth Century Fox Film Corporation
788,Blue Wolf
21450,Thin Man Films
21450,The Criterion Collection
11231,Columbia Pictures Corporation
9559,Malpaso Productions
9559,Warner Bros.
9800,TriStar Pictures
9800,Clinica Estetico
713,New South Wales Film & Television Office
713,The Australian Film Commission
713,CiBy 2000
713,Jan Chapman Productions
1245,Columbia Pictures
1245,Merchant Ivory Productions
7007,Twentieth Century Fox Film Corporation
7007,Walrus & Associates
5550,Orion Pictures
8005,Gaumont
8005,Twentieth Century Fox Film Corporation
8005,Brooksfilms
10412,The Australian Film Commission
10412,Film Victoria
10412,Seon Film Productions
10412,Romper Stomper Pty. Ltd.
14534,TriStar Pictures
424,Universal Pictures
424,Amblin Entertainment
14291,Mirage Enterprises
11236,American Zoetrope
11236,Warner Bros.
11592,Savoy Pictures
11592,Polar Entertainment
8850,Universal Pictures
695,Fine Line Features
695,Spelling Entertainment
695,Avenue Entertainment
858,TriStar Pictures
867,Paramount Pictures
867,Robert Evans Company
78,Shaw Brothers
78,Warner Bros.
78,The Ladd Company
10442,TriStar Pictures
11074,Columbia Pictures Industries
11074,Columbia Films S.A.
9607,Hollywood Pictures
9607,Cinergi Pictures Entertainment
9607,Allied Filmmakers
9607,Walt Disney
9607,Nintendo
9479,Tim Burton Productions
9479,Skellington Productions Inc.
9479,Touchstone Pictures
10057,Walt Disney Pictures
10057,Caravan Pictures
11969,Hollywood Pictures
11969,Cinergi Pictures Entertainment
319,Davis-Films
319,August Entertainment
319,Warner Bros.
319,Morgan Creek Productions
15139,Twentieth Century Fox Film Corporation
15139,Turner Pictures (I)
11655,CNCAIMC
10897,Universal Pictures
10897,Amblin Entertainment
10897,King World Entertainment
771,Twentieth Century Fox Film Corporation
771,Hughes Entertainment
251,Paramount Pictures
812,Walt Disney Pictures
280,Lightstorm Entertainment
280,Pacific Western
280,Canal+
280,Carolco Pictures
280,T2 Productions
581,Tig Productions
581,Majestic Films International
268,PolyGram Filmed Entertainment
268,The Guber-Peters Company
268,Warner Bros.
274,Orion Pictures
274,Strong Heart/Demme Production
408,Walt Disney Productions
10020,Walt Disney Pictures
10020,Walt Disney Animation Studios
10020,Silver Screen Partners IV
10895,RKO Radio Pictures
10895,Walt Disney Productions
114,Touchstone Pictures
114,Silver Screen Partners IV
576,Warner Brothers/Seven Arts
7300,Twentieth Century Fox Film Corporation
7300,Fox 2000 Pictures
7300,Via Rosa Productions
7300,Rosa Productions
275,PolyGram Filmed Entertainment
275,Working Title Films
25059,Walt Disney Pictures
11827,Canadian Film Development Corporation (CFDC)
8766,Miramax Films
8766,Dimension Films
8766,Trans Atlantic Entertainment
10112,Walt Disney Productions
1592,Paramount Pictures
11479,Procirep
11479,TF1 Films Production
11479,Canal+
11479,Touchstone Pictures
11479,Ice Films
10684,Twentieth Century Fox Film Corporation
10684,Davis Entertainment
954,Paramount Pictures
954,Cruise/Wagner Productions
8840,Universal Pictures
10539,Walt Disney Pictures
10539,Allied Filmmakers
10543,Imagine Entertainment
10543,Universal Pictures
11902,Komuna
11902,Barrandov Studios
2300,Warner Bros. Family Entertainment
2300,Northern Lights Entertainment
2300,Courtside Seats Productions
8069,Paramount Pictures
8069,Dino de Laurentiis Cinematografica
8069,Marianne Productions
8072,Filmstudio
8072,Athos Films
8072,Chaumiane
9103,Universal Pictures
9103,Signature Pictures
9103,MDP Worldwide
9103,Selima Films AVV
12233,Walt Disney Pictures
12233,Silver Screen Partners III
922,JVC Entertainment
922,Pandora Filmproduktion
922,Newmarket Capital Group
922,12 Gauge Productions
11687,Canal Plus
11687,Gaumont International
11687,France 3 Cinema
9304,Columbia Pictures Corporation
9100,Columbia Pictures
9802,Hollywood Pictures
9802,Don Simpson/Jerry Bruckheimer Films
21588,Canal+
21588,Silvio Berlusconi Communications
21588,Fonds Eurimages du Conseil de l'Europe
21588,Urania Film
21588,K.G Productions
21588,Audifilm
21588,Bibo Productions
664,Universal Pictures
664,Amblin Entertainment
664,Warner Bros.
664,Constant c Productions
11867,Propaganda Films
11867,Dark Horse Entertainment
11867,PolyGram Filmed Entertainment
9323,Bandai Visual Company
9323,Kodansha
9323,Production I.G.
10280,Paramount Pictures
10280,Spelling Films
10535,Hollywood Pictures
10547,Live Entertainment
10547,Steelwork Films
10547,Mediaworks
935,Hawk Films
935,Columbia Pictures Corporation
11101,Royal Film
11101,Bavaria Film
11101,B.A. Produktion
11101,Perathon Film-und Fernsehproduktions
9826,Paramount Pictures
9826,Village Roadshow Pictures
9826,The Ladd Company
9879,Columbia Pictures
9879,Castle Rock Entertainment
7095,American Zoetrope
7095,Hollywood Pictures
7095,Great Oaks Entertainment
627,Miramax Films
627,Channel Four Films
627,Noel Gay Motion Picture Company
627,Figment Films
627,Film4
602,Twentieth Century Fox Film Corporation
602,Centropolis Entertainment
9566,TriStar Pictures
9566,Mandalay Entertainment
10545,Walt Disney Pictures
9894,Columbia Pictures Corporation
11543,Motion Picture Corporation of America
11543,Metro-Goldwyn-Mayer (MGM)
9268,Kopelson Entertainment
9268,Warner Bros.
9327,Imagine Entertainment
9327,Universal Pictures
11228,Universal Pictures
11228,Davis Entertainment
10779,WingNut Films
10779,Universal Pictures
9294,Touchstone Pictures
1645,Regency Enterprises
1645,Warner Bros.
2925,Scott Rudin Productions
3595,Touchstone Pictures
3595,Brian Grazer/Scott Rudin Productions
12123,Twentieth Century Fox Film Corporation
12123,Chicago Pacific Entertainment
12123,"Zanuck Company, The"
10830,Jersey Films
10830,TriStar Pictures
3573,Miramax Films
3573,Haft Entertainment
3573,Matchmaker Films
10546,Miramax Films
31417,Lux Film
31417,Champs-Élysées Productions
10061,Paramount Pictures
10061,Rysher Entertainment
10478,Regency Enterprises
10478,Warner Bros.
238,Paramount Pictures
238,Alfran Productions
11134,Golden Harvest Company
11134,Golden Way Films Ltd.
9303,Dino De Laurentiis Company
9303,Spelling Films
11015,Paramount Pictures
11015,Universal Pictures
11015,Toho-Towa
11015,Mutual Film Company
11015,Pacific Western
11015,PolyGram Filmed Entertainment
11015,Marubeni
11015,Tele München Fernseh Produktionsgesellschaft (TMG)
11015,British Broadcasting Corporation (BBC)
9306,New Line Cinema
10723,Universal Pictures
10987,Miramax Films
981,Metro-Goldwyn-Mayer (MGM)
872,Metro-Goldwyn-Mayer (MGM)
2769,Loew's
2769,Metro-Goldwyn-Mayer (MGM)
13320,Paramount Pictures
164,Paramount Pictures
164,Jurow-Shepherd
426,Paramount Pictures
426,Alfred J. Hitchcock Productions
567,Paramount Pictures
3078,Columbia Pictures Corporation
213,Metro-Goldwyn-Mayer (MGM)
284,United Artists
284,The Mirisch Company
239,The Mirisch Corporation
239,Ashton Productions
4808,Universal Pictures
289,Warner Bros.
963,Warner Bros.
11113,Warner Bros.
6620,Paramount Pictures
804,Paramount Pictures
630,Loew's Incorporated
770,Selznick International Pictures
770,Metro-Goldwyn-Mayer (MGM)
599,Paramount Pictures
15,RKO Radio Pictures
15,Mercury Productions
62,Stanley Kubrick Productions
62,Metro-Goldwyn-Mayer (MGM)
705,Twentieth Century Fox Film Corporation
223,Selznick International Pictures
303,RKO Radio Pictures
4174,Selznick International Pictures
8356,Twentieth Century Fox Film Corporation
8356,Jerry Wald Productions
381,Paramount Pictures
10907,Warner Bros.
1939,Twentieth Century Fox Film Corporation
198,United Artists
1712,Warner Bros.
220,Warner Bros.
3085,Columbia Pictures
1585,RKO Radio Pictures
1585,Liberty Films (II)
3083,Columbia Pictures
900,RKO Radio Pictures
260,Gaumont British Picture Corporation
260,The Criterion Collection
10331,Laurel Group
10331,Off Color Films
10331,Image Ten
10331,Market Square Productions
488,United Artists
488,Independent Film Distributors
488,Romulus Films
261,Avon Production
261,Metro-Goldwyn-Mayer (MGM)
11076,Columbia Pictures
11076,Sandollar Productions
10861,Columbia Pictures
9333,New Line Cinema
9333,Metropolitan Filmexport
9625,Warner Bros.
9625,Seagal/Nasso Productions
14136,Walt Disney Productions
6878,Walt Disney Pictures
6878,Touchwood Pacific Partners 1
173,Walt Disney Productions
864,Walt Disney
24795,Walt Disney Pictures
24795,Caravan Pictures
11224,RKO Radio Pictures
11224,Walt Disney Productions
15947,Walt Disney Pictures
9078,Walt Disney Productions
8367,Warner Bros.
8367,Morgan Creek Productions
433,Walt Disney Productions
11360,RKO Radio Pictures
11360,Walt Disney Productions
11114,Walt Disney Productions
12335,Walt Disney Productions
12092,RKO Radio Pictures
12092,Walt Disney Productions
10948,Walt Disney Productions
15121,Twentieth Century Fox Film Corporation
15121,Robert Wise Productions
15121,Argyle Enterprises
562,Twentieth Century Fox Film Corporation
562,Gordon Company
562,Silver Pictures
10163,New Line Cinema
10163,Allied Vision
11159,Channel Four Films
11159,October Films
11159,CiBy 2000
11159,Thin Man Films
9591,Twentieth Century Fox Film Corporation
9591,Clinica Estetico
9591,Clavius Base
11412,New Line Cinema
11412,Forge
11412,The Steve Tisch Company
10586,Constellation Films
10586,Paramount
9716,Miramax Films
454,Bazmark Films
454,Twentieth Century Fox Film Corporation
10218,Miramax Films
10218,Independent Pictures (II)
10218,The Alfred Shay Company Inc.
819,Propaganda Films
819,Warner Bros.
819,Baltimore Pictures
11238,Walt Disney Television Animation
252,Paramount Pictures
252,David L. Wolper Productions
16372,Twentieth Century Fox Film Corporation
16372,Achilles
11561,Rollins-Joffe Productions
11302,United Artists
11302,Jack Rollins & Charles H. Joffe Productions
623,Metro-Goldwyn-Mayer (MGM)
623,Prominent Features
583,HandMade Films
583,Python (Monty) Pictures
475,Tatira-Hiller Productions
475,Warner Brothers/Seven Arts
521,Warner Bros.
88,Great American Films Limited Partnership
88,Vestron Pictures
500,Live Entertainment
500,Lionsgate
500,Dog Eat Dog Productions Inc.
792,Orion Pictures
792,Hemdale Film Corporation
8491,Gladden Entertainment
402,TriStar Pictures
402,Canal+
402,Carolco Pictures
10537,Imagine Entertainment
10537,Ixtlan Productions
10537,Carolco Pictures
10537,Bill Graham Films
11386,Miramax Films
11386,Channel Four Films
11386,Palace Pictures
11386,Nippon Film Development and Finance Inc.
11386,Eurotrustees
11386,British Screen Productions
9504,New Line Cinema
9504,GGR
9504,Zupnik Cinema Group II
15764,Keith Barish Productions
15764,Incorporated Television Company
601,Universal Pictures
601,Amblin Entertainment
2119,Paramount Pictures
2119,Don Simpson/Jerry Bruckheimer Films
744,Paramount Pictures
221,Warner Bros.
702,Charles K. Feldman Group
702,Warner Bros.
1630,Sony Pictures
11816,Universal Pictures
11843,United Artists
11843,Jewel Productions
11843,Pimlico Films
11843,Incorporated Television Company (ITC)
10379,PolyGram Filmed Entertainment
2756,Twentieth Century Fox Film Corporation
2756,Lightstorm Entertainment
2756,Pacific Western
790,AVCO Embassy Pictures
790,EDI
790,Debra Hill Productions
1103,AVCO Embassy Pictures
1103,Goldcrest Films International
1103,International Film Investors
1103,City Film
11298,AVCO Embassy Pictures
11298,International Film Investors
11298,Wescom Productions
4480,Renn Productions
4480,Films A2
4480,DD Productions
4480,AMLF
4480,Télévision Suisse-Romande (TSR)
4480,RAI Radiotelevisione Italiana
4481,Renn Productions
4481,Films A2
4481,DD Productions
4481,AMLF
4481,RAI Radiotelevisione Italiana
10765,Warner Bros.
762,Python (Monty) Pictures Limited
762,Michael White Productions
762,National Film Trustee Company
762,Twickenham Film Studios
11216,Rai Tre Radiotelevisione Italiana
7452,Elsevira
7452,Erbograph Co.
7452,Vendex
892,Hachette Première
892,Sofinergie Films
892,Fondation GAN pour le Cinéma
892,Victoires Productions
892,Constellation
892,Union Générale Cinématographique (UGC)
892,Sofinergie 2
892,Investimage 2
1600,Canal+
1600,"Zespól Filmowy ""Tor"""
1600,Norsk Film
1600,Sidéral Productions
975,United Artists
975,Bryna Productions
18129,Miramax Films
18129,Cineplex-Odeon Films
409,Miramax Films
409,Tiger Moth Productions
38251,Penta Films
38251,Silvio Berlusconi Communications
38251,A.M.A. Film
10161,Ferndale Films
10161,Granada Television
10161,Radio Telefís Éireann (RTÉ)
1412,Miramax Films
1412,Outlaw Productions
1412,Virgin
2469,El Deseo
510,United Artists
510,Fantasy Films
510,Warner Bros.
11455,Paramount Pictures
1891,Lucasfilm
1891,Twentieth Century Fox Film Corporation
2493,Act III Communications
2493,The Princess Bride Ltd.
2493,Buttercup Films Ltd.
85,Lucasfilm
85,Paramount Pictures
68,Embassy International Pictures
679,Twentieth Century Fox Film Corporation
679,SLM Production Group
679,Brandywine Productions
429,United Artists
429,Constantin Film Produktion
429,Produzioni Europee Associati (PEA)
429,Arturo González Producciones Cinematográficas S.A.
13446,Handmade Films Ltd.
13446,The Criterion Collection
389,United Artists
389,Orion-Nova Productions
947,Horizon Pictures (II)
185,Hawk Films
185,Warner Bros.
595,Universal Pictures
28,United Artists
28,Zoetrope Studios
335,Paramount Pictures
335,Rafran Cinematografica
335,Finanzia San Marco
1892,Lucasfilm
1892,Twentieth Century Fox Film Corporation
144,Road Movies Filmproduktion GmbH
144,Argos Films
144,Westdeutscher Rundfunk (WDR)
1092,London Film Productions
1092,British Lion Film Corporation
1092,The Criterion Collection
769,Winkler Films
348,Twentieth Century Fox Film Corporation
348,Brandywine Productions
766,Universal Pictures
766,Renaissance Pictures
766,Metro-Goldwyn-Mayer (MGM)
766,Dino De Laurentiis Company
175,Gaumont
11645,Nippon Herald Films
11645,Greenwich Film Productions
11645,Herald Ace
10835,Film Workshop
10835,Long Shong Pictures
10835,Golden Princess Film Production Limited
539,Paramount Pictures
539,Universal Pictures
539,Shamley Productions
525,Universal Pictures
240,Paramount Pictures
240,The Coppola Company
600,Stanley Kubrick Productions
600,Warner Bros.
600,Natant
279,Warner Bros.
3109,Republic Pictures
311,Warner Bros.
311,The Ladd Company
1578,United Artists
703,United Artists
9549,Warner Bros.
9549,The Ladd Company
1398,Mosfilm
387,Radiant Film GmbH
387,Süddeutscher Rundfunk
387,Columbia Pictures Corporation
387,Bavaria Film
387,Westdeutscher Rundfunk (WDR)
387,Twin Bros. Productions
9277,Universal Pictures
343,Paramount Pictures
490,Svensk Filmindustri (SF)
490,The Criterion Collection
218,Orion Pictures
218,Pacific Western
218,Hemdale Film
218,Cinema 84
218,Euro Film Funding
763,WingNut Films
763,New Zealand Film Commission
763,Avalon/NFU Studios
9665,TriStar Pictures
9665,Freddie Fields Productions
696,United Artists
696,Jack Rollins & Charles H. Joffe Productions
379,Twentieth Century Fox Film Corporation
379,Circle Films
207,Touchstone Pictures
207,Silver Screen Partners IV
37247,Lawrence Turman
1480,Universal International Pictures (UI)
9322,Gaumont
9322,Cecchi Gori Group Tiger Cinematografica
9322,cechi gori group
826,Columbia Pictures Corporation
826,Horizon Pictures (II)
422,Cineriz
422,Francinex
829,Paramount Pictures
829,Penthouse
829,Long Road Productions
828,Twentieth Century Fox Film Corporation
3090,Warner Bros.
9964,WingNut Films
9964,New Zealand Film Commission
3063,Paramount Pictures
13667,CBS Entertainment Productions
13667,A&M Films
694,Hawk Films
694,Warner Bros.
694,Peregrine
235,Columbia Pictures
235,Act III Communications
